 Persistent EPS in the Last Four Seasons, Net Income to Total Assets, Per Share Net profit before tax (Yuan ¥), Net profit before tax/Paid-in capital, ROA(C) before interest and depreciation before interest, ROA(B) before interest and depreciation after tax, ROA(A) before interest and % after tax, Debt ratio %,Class
23,82,18,18,53,58,58,7,0
22,80,17,17,50,55,55,9,0
22,80,17,17,49,54,55,8,0
22,80,18,18,50,55,56,19,1
21,79,17,16,47,52,53,19,1
23,82,19,18,49,55,58,13,0
25,82,19,19,52,58,59,13,0
20,79,16,16,44,49,53,9,0
20,77,15,15,43,49,50,14,0
22,80,17,17,50,55,54,11,0
21,79,16,16,45,50,52,2,0
21,79,17,17,47,53,53,4,0
23,82,18,18,55,58,58,6,0
21,80,17,17,50,54,54,6,0
21,81,17,17,48,54,57,14,0
21,80,17,17,47,53,55,11,0
21,80,17,17,48,53,54,10,0
18,71,14,14,38,42,41,13,0
20,79,16,16,47,53,53,15,0
20,78,16,15,45,50,50,11,0
21,80,17,17,51,57,55,7,0
22,87,17,17,49,54,55,9,0
22,83,18,18,50,54,60,8,0
24,82,18,18,50,57,58,13,0
24,83,18,18,52,58,59,12,0
22,82,18,18,53,58,58,8,0
23,81,18,18,52,57,57,14,0
22,81,18,18,50,55,56,8,0
23,83,19,19,53,58,59,11,0
21,79,16,16,47,52,52,10,0
20,78,16,16,47,52,52,16,1
24,82,19,19,51,57,58,12,0
23,81,19,18,50,56,57,13,0
21,80,17,17,47,52,54,8,0
21,79,16,16,46,52,53,15,0
22,81,18,17,50,56,56,14,0
22,81,17,17,48,53,55,6,0
21,79,16,16,46,52,52,10,0
21,80,17,17,50,54,55,9,0
24,83,19,19,56,60,59,6,0
20,76,15,15,46,51,49,20,0
22,80,17,17,49,54,55,7,0
22,80,17,17,49,54,55,8,0
21,79,17,16,47,53,53,10,0
24,83,19,19,54,60,59,11,0
20,81,17,17,47,52,55,12,0
22,81,17,17,52,57,56,10,0
21,81,17,17,48,53,54,7,0
21,80,17,17,48,54,54,9,0
24,82,20,20,52,57,58,12,0
21,80,17,17,48,53,54,10,0
22,82,18,18,52,57,57,8,0
23,81,18,18,51,56,57,11,0
23,82,18,18,52,56,58,9,0
23,82,19,19,52,57,58,12,0
21,80,17,17,48,53,54,10,0
20,78,16,16,45,51,52,18,1
26,84,22,22,54,59,61,10,0
25,83,21,21,52,58,60,11,0
21,80,17,17,46,52,55,10,0
20,77,16,15,44,49,50,15,0
22,81,18,17,50,56,56,11,0
22,81,18,18,50,54,56,4,0
21,79,17,17,48,53,53,12,0
21,78,16,16,46,51,51,9,0
23,82,18,18,53,57,57,6,0
21,80,17,17,49,54,54,15,0
22,81,17,17,49,54,55,6,0
22,81,18,17,49,54,56,8,0
20,78,16,16,46,50,50,8,0
23,82,19,19,52,57,58,10,0
23,82,18,18,52,58,58,7,0
22,79,17,17,52,56,53,13,0
21,80,17,17,48,53,54,7,0
21,80,17,17,50,55,54,3,0
27,84,22,22,55,61,62,9,0
21,80,17,17,48,53,55,10,0
22,82,18,18,52,57,57,6,0
22,80,18,17,49,54,55,14,0
23,82,18,18,51,56,57,7,0
23,82,18,18,51,57,57,12,0
22,81,18,18,50,54,56,12,0
20,77,16,16,45,50,51,16,1
20,79,17,16,46,51,54,17,1
20,78,15,15,46,51,52,20,1
22,80,17,17,49,54,55,13,0
20,79,16,16,47,53,53,11,0
21,79,16,16,47,53,52,4,0
20,78,16,16,45,51,51,13,0
19,77,15,15,42,47,49,12,0
21,79,17,16,46,52,53,7,0
20,77,16,16,43,49,49,6,0
21,80,17,17,46,51,55,11,0
21,80,17,17,48,53,54,9,0
22,81,17,17,51,56,57,12,0
21,79,17,16,48,53,53,12,0
21,79,16,16,46,51,52,5,0
21,80,17,17,49,55,55,9,0
22,80,17,17,49,56,55,10,0
20,78,16,16,46,52,52,13,0
22,81,17,17,49,55,56,9,0
24,85,20,20,58,63,64,7,0
21,79,17,16,48,52,53,6,0
20,77,16,16,45,50,50,10,0
21,78,16,16,46,52,52,13,0
21,80,17,17,49,54,54,10,0
19,76,15,15,44,48,50,15,0
21,79,17,16,48,54,53,11,0
22,81,18,17,52,57,57,6,0
22,82,18,18,51,56,57,4,0
22,80,17,17,49,54,55,15,0
22,81,18,17,51,56,56,7,0
22,80,17,17,49,54,55,4,0
22,81,17,17,52,58,57,8,0
21,81,17,17,48,53,56,2,0
25,83,21,21,54,58,60,8,0
23,82,19,19,54,58,59,14,0
22,80,17,17,50,55,55,19,0
23,81,18,18,52,58,57,14,0
22,80,18,17,48,53,55,24,0
21,80,17,17,50,55,55,13,0
21,80,17,17,50,55,55,8,0
21,78,16,16,47,52,52,13,0
23,81,18,18,52,56,58,14,0
23,82,19,19,55,59,59,10,0
22,81,18,18,54,58,57,7,0
21,79,17,17,49,53,54,18,0
22,81,18,18,52,56,57,10,0
19,76,15,15,44,49,50,18,1
19,77,15,15,45,49,50,19,1
16,70,13,13,34,38,39,20,1
21,79,17,16,46,52,53,13,1
19,74,15,15,44,48,46,19,1
16,71,13,13,37,40,39,19,1
19,76,15,15,43,48,49,17,1
21,79,17,16,48,53,53,15,0
20,78,16,16,46,51,51,13,0
20,76,15,15,43,49,48,4,0
20,77,15,15,45,51,49,15,0
20,76,15,15,45,51,49,19,0
19,76,15,15,42,46,48,13,0
20,79,16,16,43,49,53,8,0
20,80,17,17,44,49,54,7,0
21,78,16,16,46,51,51,14,0
21,80,17,17,48,53,54,11,0
22,81,18,18,51,57,57,11,0
21,80,17,17,48,54,54,12,0
21,79,16,16,47,52,53,11,0
20,78,16,16,46,51,51,11,0
20,76,15,15,45,50,49,12,0
21,80,17,17,49,54,54,10,0
21,79,17,16,47,53,54,12,0
21,78,16,16,47,52,51,14,0
23,83,19,19,54,59,60,7,0
20,77,15,15,43,49,49,9,0
18,74,14,14,39,44,44,14,0
21,80,17,17,50,55,54,11,0
21,79,16,16,47,53,53,11,0
20,79,16,16,46,51,54,15,0
21,79,16,16,48,53,53,9,0
21,79,17,17,49,54,54,10,0
22,81,17,17,51,56,56,4,0
21,79,17,16,49,54,54,16,0
22,81,18,17,50,55,56,6,0
21,79,17,17,49,54,54,15,0
22,81,17,17,50,56,55,6,0
21,78,16,16,48,53,51,7,0
21,78,16,16,47,53,52,10,0
20,77,15,15,43,48,48,3,0
25,83,21,21,54,58,60,8,0
23,81,18,18,52,56,57,14,0
20,77,15,15,46,52,52,18,0
22,81,18,18,52,57,56,13,0
22,80,18,17,49,54,55,20,0
21,79,17,17,49,55,54,15,0
21,79,16,16,47,52,52,10,0
19,77,15,15,44,49,49,12,0
22,80,17,17,50,55,56,15,0
22,81,18,18,51,56,56,11,0
23,82,18,18,55,60,58,5,0
20,78,16,15,49,53,53,20,0
22,81,17,17,50,55,56,12,0
22,81,17,17,50,56,56,21,1
22,80,17,17,49,54,54,14,0
21,80,17,17,48,54,54,16,0
21,78,16,16,47,52,51,4,0
21,79,17,16,49,54,53,12,0
21,79,16,16,47,53,53,21,0
20,78,16,16,45,50,51,14,0
21,79,17,16,45,51,53,8,0
20,78,16,16,45,50,50,13,0
21,80,17,17,46,51,54,15,0
22,80,17,17,49,54,55,8,0
21,81,17,17,49,54,56,10,0
21,79,17,17,47,52,53,11,0
21,80,17,17,48,53,54,10,0
20,77,16,16,44,50,50,12,0
21,79,16,16,49,54,53,9,0
21,79,16,16,47,53,52,9,0
20,74,14,14,46,51,46,11,0
21,79,16,16,48,53,53,11,0
24,84,19,19,55,60,62,4,0
21,81,17,17,48,54,55,2,0
18,72,14,14,37,41,43,18,0
21,79,17,16,49,54,53,10,0
22,81,17,17,51,57,56,8,0
21,79,17,16,48,53,53,14,0
21,80,17,17,49,54,54,9,0
21,79,17,17,49,54,53,9,0
21,78,16,16,47,52,51,4,0
23,82,18,17,53,59,59,12,0
21,80,17,17,47,53,54,8,0
22,80,17,17,49,54,55,17,0
21,79,17,17,47,53,53,8,0
21,79,16,16,46,51,53,5,0
21,79,17,16,48,54,53,6,0
22,80,17,17,49,54,55,5,0
25,83,20,20,53,58,60,8,0
23,81,18,18,52,56,57,14,0
19,76,15,15,45,50,49,18,0
22,80,17,17,50,55,55,12,0
26,84,21,21,57,61,62,13,0
22,81,18,17,52,57,56,15,0
21,78,16,16,46,51,51,5,0
20,78,16,16,44,49,51,13,0
22,80,17,17,48,53,55,14,0
21,79,17,17,48,54,53,11,0
23,82,19,18,55,60,58,7,0
24,84,20,20,58,62,62,11,0
21,79,17,16,48,53,53,14,0
22,80,17,17,49,54,55,12,0
21,79,17,17,48,53,54,15,0
21,79,17,16,48,53,53,5,0
20,78,17,16,49,52,51,13,0
21,79,16,16,47,52,52,20,0
21,78,16,16,45,50,51,11,0
21,79,16,16,46,51,53,8,0
20,78,16,16,45,50,51,13,0
21,80,17,17,46,51,54,15,0
21,79,16,16,46,51,52,9,0
22,81,17,17,48,54,55,11,0
21,80,17,17,47,52,53,12,0
21,80,17,17,48,53,54,10,0
20,78,16,16,44,49,51,12,0
21,79,17,16,48,53,53,9,0
21,78,16,16,48,53,52,8,0
21,80,17,17,48,53,54,10,0
21,79,16,16,48,53,52,12,0
24,84,19,19,54,59,62,3,0
21,80,17,17,48,53,53,2,0
21,80,17,17,47,52,54,13,0
21,80,17,17,49,54,53,9,0
22,80,17,17,50,55,54,7,0
21,79,17,16,47,52,53,13,0
21,80,17,17,49,54,54,8,0
19,76,15,15,43,48,47,10,0
21,78,16,16,47,52,51,3,0
22,82,17,17,52,57,57,8,0
21,80,17,17,47,52,53,5,0
22,81,18,18,50,55,56,13,0
21,79,16,16,47,52,53,8,0
21,79,17,16,47,52,53,5,0
20,78,16,16,46,52,50,7,0
21,79,17,16,47,52,53,3,0
26,82,18,18,53,61,58,7,0
22,81,18,18,51,55,56,13,0
17,71,14,14,38,42,41,15,0
22,81,18,18,51,55,56,12,0
26,84,22,22,58,61,63,13,0
22,80,17,17,50,56,55,16,0
20,77,16,16,44,49,49,5,0
19,77,16,16,44,46,49,13,0
22,80,17,17,48,53,55,14,0
19,76,15,15,44,49,48,14,0
22,82,18,18,54,59,57,3,0
25,85,20,20,59,63,63,8,0
21,80,17,17,48,53,54,15,0
20,76,16,16,45,50,51,24,1
23,82,18,18,51,57,58,10,0
21,80,17,17,47,52,54,13,0
21,79,17,16,48,53,52,4,0
21,79,17,16,48,53,52,13,0
21,78,16,16,47,52,52,21,0
21,79,16,16,45,51,52,10,0
20,77,16,16,43,48,50,8,0
21,79,16,16,47,52,52,13,0
21,80,17,17,46,51,53,13,0
21,79,16,16,45,51,52,7,0
22,81,17,17,49,54,56,11,0
21,79,17,17,47,52,53,13,0
21,80,17,17,48,53,54,9,0
20,77,16,16,44,49,50,13,0
21,79,17,16,49,53,52,10,0
21,78,16,16,48,53,51,8,0
21,79,17,16,47,52,53,9,0
22,80,17,17,50,56,55,11,0
23,83,19,19,52,57,60,3,0
21,79,17,16,48,52,52,2,0
20,76,16,16,43,47,49,14,0
21,79,16,16,48,53,52,9,0
22,81,17,17,51,56,56,9,0
20,76,15,15,45,50,49,13,0
21,81,17,17,49,54,55,8,0
21,80,17,17,50,55,54,9,0
22,81,17,17,50,56,56,2,0
21,80,17,17,50,55,54,8,0
21,79,17,17,47,52,53,6,0
22,81,18,17,49,54,55,13,0
20,78,16,16,46,51,51,8,0
20,76,15,15,45,50,48,7,0
20,78,16,16,47,52,50,4,0
20,78,16,16,45,50,51,3,0
25,83,20,20,53,59,60,9,0
22,81,18,18,51,55,56,13,0
16,69,12,13,41,44,39,18,0
23,81,19,19,52,56,57,15,0
26,84,21,21,56,61,62,13,0
22,81,17,17,51,56,55,15,0
21,78,16,16,46,51,51,4,0
20,79,17,16,44,48,53,6,0
21,80,17,17,47,52,55,14,0
21,79,17,16,48,54,53,14,0
23,82,18,18,55,59,58,5,0
23,83,18,18,55,60,60,7,0
20,78,16,16,46,51,51,16,0
14,54,8,8,31,36,27,29,1
23,81,18,18,50,56,57,10,0
21,79,17,16,48,52,53,14,0
21,79,16,16,46,51,51,5,0
20,76,15,15,44,49,48,14,0
20,76,15,15,45,50,49,20,0
21,78,16,16,45,50,52,10,0
19,75,15,15,40,45,46,7,0
20,74,15,15,43,48,45,13,0
22,80,17,17,48,53,54,9,0
21,79,16,16,46,51,52,3,0
22,81,18,18,50,55,57,11,0
21,79,16,16,46,51,53,9,0
21,79,17,16,47,52,53,7,0
20,78,16,16,44,49,50,14,0
20,77,15,15,44,49,49,11,0
21,79,16,16,48,53,52,8,0
19,71,14,14,40,44,41,10,0
21,79,16,16,48,54,53,13,0
22,82,18,18,50,55,59,6,0
21,78,16,16,47,52,51,3,0
18,62,13,13,36,39,31,18,0
21,79,16,16,48,53,52,8,0
21,79,16,16,46,52,52,12,0
21,78,16,16,46,51,52,14,0
20,78,16,16,47,51,51,11,0
21,79,17,16,49,54,53,9,0
21,79,16,16,47,52,53,2,0
21,72,14,14,47,52,42,6,0
22,81,17,17,48,54,55,4,0
22,80,18,17,49,54,55,14,0
21,79,17,16,47,52,53,9,0
21,78,16,16,46,51,51,6,0
21,79,16,16,50,54,53,3,0
20,76,15,15,43,48,47,2,0
25,83,20,20,52,57,59,11,0
22,80,17,17,49,54,55,13,0
17,75,14,15,41,46,46,15,0
23,82,19,19,52,57,58,11,0
25,83,21,21,56,59,61,14,0
22,81,17,17,51,57,55,14,0
20,78,16,16,45,50,51,6,0
21,78,16,16,44,49,50,4,0
22,80,18,17,49,53,55,14,0
20,76,15,15,44,49,48,14,0
22,82,18,18,53,58,57,3,0
22,81,18,18,53,56,56,7,0
21,80,17,17,50,55,54,18,0
20,77,15,15,45,50,50,16,0
20,78,16,16,44,49,52,17,1
23,82,18,18,51,56,57,10,0
21,80,17,17,47,53,54,13,0
21,79,17,17,47,52,53,5,0
21,79,17,17,49,54,53,12,0
21,79,17,16,48,53,53,18,0
21,79,17,16,46,51,53,8,0
21,79,17,16,46,51,53,4,0
20,75,15,15,43,48,47,16,0
21,79,17,17,46,52,53,6,0
22,81,18,17,50,54,56,3,0
23,82,20,20,49,54,59,4,0
21,79,17,16,46,51,53,5,0
22,81,17,17,49,54,56,6,0
20,76,16,16,43,47,48,14,0
21,80,17,17,49,54,54,12,0
21,79,16,16,48,53,52,7,0
22,81,17,17,48,54,56,10,0
21,80,17,17,50,55,54,13,0
22,82,18,18,49,54,57,7,0
21,80,17,17,48,53,55,1,0
21,81,17,17,49,54,56,15,0
21,79,17,16,47,53,53,8,0
21,80,17,17,49,54,54,13,0
21,79,16,16,47,52,53,11,0
22,80,17,17,50,54,55,13,0
21,80,17,17,48,54,54,9,0
21,77,16,16,46,50,50,2,0
21,80,17,17,47,53,54,8,0
22,80,17,17,48,54,55,3,0
21,80,17,17,47,52,54,15,0
21,78,16,16,46,51,52,10,0
21,79,16,16,46,51,52,5,0
21,78,16,16,48,53,51,3,0
19,75,15,15,42,47,46,6,0
25,83,20,20,51,57,58,7,0
22,80,17,17,48,53,54,14,0
18,76,14,16,45,49,49,11,0
23,82,19,18,52,56,57,10,0
28,85,25,24,60,63,64,11,0
22,81,18,18,51,57,56,13,0
22,81,17,17,49,54,55,4,0
21,81,17,17,49,53,55,3,0
22,80,18,18,49,53,55,15,0
20,78,16,16,45,50,51,6,0
23,82,18,18,53,57,57,4,0
21,80,17,17,51,55,55,8,0
21,79,17,17,50,54,54,20,0
25,82,22,20,54,58,59,15,0
17,74,13,14,41,45,45,21,1
19,79,17,17,44,49,54,23,1
18,72,14,14,39,45,43,18,1
22,80,17,17,48,53,55,11,0
21,79,16,16,47,52,53,14,0
21,79,17,17,48,52,53,4,0
20,76,15,15,44,49,47,14,0
20,77,16,16,45,50,51,19,0
21,78,16,16,44,49,51,6,0
21,79,17,16,47,53,53,5,0
18,73,14,14,41,45,45,17,0
21,79,17,16,46,52,53,9,0
20,76,15,15,42,47,48,3,0
23,81,18,18,49,54,55,6,0
21,79,17,17,47,52,53,5,0
21,79,16,16,46,51,52,6,0
20,78,16,16,44,49,51,14,0
21,78,16,16,46,51,51,12,0
21,80,17,17,48,53,53,4,0
21,79,17,16,46,52,53,9,0
18,74,14,14,43,47,46,15,0
20,79,17,16,44,50,53,7,0
21,78,16,16,48,53,51,1,0
22,80,17,17,49,54,55,11,0
21,79,17,16,48,53,53,7,0
19,75,15,14,42,47,47,12,0
20,78,16,16,45,50,51,11,0
20,76,16,16,46,50,49,15,0
20,77,16,16,45,49,49,11,0
20,76,16,16,42,47,47,2,0
20,78,16,16,45,50,50,9,0
22,80,17,17,48,53,54,2,0
20,78,16,16,45,50,51,19,0
20,77,16,16,44,49,50,11,0
21,75,15,15,46,51,47,8,0
22,81,17,17,52,56,56,2,0
19,73,15,15,39,44,44,5,0
22,80,18,18,48,53,55,7,0
21,79,17,16,47,52,53,10,0
19,72,13,15,39,42,42,15,0
22,81,18,18,50,55,55,10,0
23,81,19,18,50,55,56,10,0
22,81,18,17,53,57,56,11,0
21,79,16,16,46,51,52,4,0
20,74,15,15,38,45,46,1,0
22,80,17,17,49,53,54,13,0
17,70,13,13,38,41,39,11,0
22,81,18,18,52,56,56,2,0
22,81,18,17,52,57,56,7,0
19,77,14,14,46,51,51,21,0
25,82,20,20,53,57,58,12,0
15,73,12,12,40,44,45,25,1
21,80,17,17,49,54,54,11,0
21,81,18,18,47,53,56,10,0
20,77,16,16,46,51,51,16,0
22,81,18,18,49,54,56,5,0
21,80,17,17,48,53,54,16,0
21,79,16,16,48,53,53,15,0
23,81,17,17,49,55,56,18,0
22,81,18,17,49,54,55,9,0
22,81,18,18,51,56,57,13,0
21,79,17,16,47,52,54,11,0
22,82,18,18,52,56,58,4,0
22,81,18,18,50,55,56,13,0
22,81,18,17,51,56,55,14,0
23,80,18,18,52,57,56,16,0
22,80,18,18,53,57,56,13,0
23,81,18,18,53,58,58,13,0
22,81,18,18,50,56,57,6,0
22,81,18,18,50,55,56,11,0
26,88,22,22,68,70,71,4,0
22,81,18,18,49,55,56,13,0
22,81,17,17,50,55,56,7,0
23,82,19,19,52,57,58,5,0
26,86,22,22,63,66,67,12,0
22,81,18,18,50,55,57,13,0
22,80,17,17,49,55,56,15,0
22,81,19,18,52,57,58,15,0
22,81,18,18,50,56,57,12,0
24,83,20,20,57,60,61,9,0
20,77,15,15,43,48,50,14,0
23,83,20,19,55,59,60,10,0
21,79,17,16,47,53,54,11,0
20,79,16,16,43,49,52,10,0
21,79,17,17,48,54,54,15,0
21,79,17,17,49,53,54,12,0
22,81,18,18,50,55,56,6,0
24,84,20,19,60,63,62,5,0
22,83,18,18,52,57,60,6,0
22,80,17,17,51,57,56,13,0
21,79,16,16,48,54,54,13,0
23,82,18,18,55,59,58,15,0
22,81,18,18,49,54,56,7,0
21,80,17,17,47,52,53,5,0
19,76,14,14,42,47,48,13,0
22,81,18,18,52,56,56,11,0
23,82,18,18,51,56,57,8,0
22,80,18,17,48,53,55,16,0
21,80,17,17,48,53,54,15,0
22,81,17,17,49,55,56,9,0
22,80,17,17,51,57,55,12,0
23,82,19,19,53,57,57,9,0
20,77,16,16,47,50,49,11,0
21,79,16,16,47,52,53,20,0
25,82,20,20,56,61,60,19,0
24,82,20,20,55,59,59,11,0
21,79,17,16,48,53,54,16,0
22,81,18,18,49,54,56,14,0
22,81,18,18,52,56,56,16,0
21,80,17,17,48,53,54,13,0
21,79,16,16,48,53,53,17,0
24,81,20,19,56,61,57,18,0
21,80,17,17,49,54,56,17,0
23,81,18,18,51,55,56,9,0
20,79,16,15,45,51,52,17,0
21,80,17,17,49,53,54,13,0
21,80,17,17,48,54,54,6,0
22,80,18,18,49,53,55,10,0
22,81,17,17,51,57,55,7,0
21,80,18,17,50,55,55,13,0
21,79,16,16,49,53,53,16,1
22,80,17,17,49,54,55,12,0
21,80,17,17,47,52,55,13,0
22,79,16,16,48,54,54,16,0
21,80,17,17,47,52,54,5,0
21,80,17,17,48,53,54,17,0
21,79,17,16,49,54,53,14,0
20,78,15,15,45,50,52,18,0
22,81,17,17,50,55,55,11,0
21,79,17,17,49,54,54,16,0
18,73,14,14,40,44,44,12,0
21,75,15,15,45,51,47,2,0
22,81,17,17,50,55,56,12,0
23,81,18,18,52,58,56,14,0
21,79,17,17,50,56,54,16,0
20,79,16,16,49,54,53,16,0
21,79,17,17,48,54,54,15,0
22,81,18,18,51,56,56,7,0
21,79,16,16,45,51,52,11,0
25,87,21,21,64,66,68,3,0
22,81,18,18,50,55,56,13,0
21,80,17,17,49,54,55,7,0
24,83,20,20,55,59,60,7,0
25,84,21,20,58,61,62,10,0
22,81,18,18,49,54,56,16,0
22,80,17,17,50,55,55,17,0
24,83,19,19,55,60,60,13,0
21,80,17,17,48,53,54,13,0
23,83,19,19,54,58,59,9,0
22,80,17,17,49,54,56,13,0
24,83,20,20,57,61,61,14,0
22,80,17,17,50,54,55,12,0
25,83,20,20,55,61,61,10,0
22,79,17,17,48,54,54,17,0
22,82,17,17,56,60,58,9,0
22,81,18,18,51,55,56,5,0
23,82,19,18,56,60,59,12,0
23,81,18,18,53,59,57,10,0
21,80,16,16,49,55,54,14,0
21,79,17,17,49,55,54,14,0
21,79,17,17,51,55,54,18,0
21,79,17,17,49,55,55,18,0
22,81,17,17,49,54,56,6,0
22,80,17,17,48,53,54,5,0
19,77,15,15,43,49,49,16,0
22,80,17,17,50,55,55,14,0
23,80,18,17,51,56,55,9,0
24,82,19,19,51,56,58,16,0
22,80,17,17,49,54,55,16,0
22,80,17,17,50,55,55,9,0
23,81,18,18,52,57,56,11,0
22,80,17,17,50,56,55,11,0
22,83,18,18,53,59,59,4,0
22,80,17,17,48,54,55,21,0
24,83,19,19,56,61,60,13,0
25,83,20,20,56,60,60,12,0
22,81,17,17,48,54,57,15,0
22,81,17,17,51,56,56,16,0
22,80,17,17,48,53,55,10,0
21,79,17,16,48,53,54,18,0
24,81,19,19,56,61,57,17,0
22,80,17,17,49,54,55,18,0
25,84,21,20,57,60,61,8,0
22,80,18,18,50,55,56,17,0
24,83,20,20,55,58,60,13,0
22,80,17,17,50,56,55,4,0
22,80,17,17,50,55,54,16,0
18,71,14,14,33,37,37,10,0
22,81,18,18,52,57,57,9,0
22,81,18,18,52,57,57,14,0
17,74,13,13,40,44,45,21,1
22,80,17,17,49,54,54,12,0
21,79,17,17,47,52,53,13,0
21,78,16,16,46,52,52,17,0
22,81,18,17,49,54,56,6,0
21,80,17,17,50,55,54,14,0
22,81,18,18,50,55,56,13,0
21,79,16,16,46,51,52,13,0
22,80,17,17,49,54,55,15,0
21,79,16,16,47,52,54,9,0
21,80,17,17,48,53,55,5,0
21,80,17,17,47,53,54,13,0
24,82,19,19,53,58,58,15,0
24,81,19,19,52,57,56,16,0
23,83,20,20,52,57,60,11,0
22,80,17,17,50,56,54,15,0
24,82,19,19,52,57,58,9,0
21,79,16,16,47,52,52,16,0
26,86,22,22,60,63,64,8,0
21,80,17,17,48,53,54,17,0
25,84,20,20,57,61,62,12,0
25,83,21,20,55,58,60,8,0
23,81,18,18,50,55,56,15,0
21,79,17,17,46,51,54,22,0
22,81,18,18,50,55,56,15,0
23,81,18,18,51,55,57,8,0
24,82,19,19,52,57,58,14,0
21,80,17,17,48,53,54,15,0
22,81,18,17,50,55,56,9,0
22,81,18,18,51,56,57,17,0
22,81,17,17,50,55,55,10,0
26,83,22,22,56,60,60,13,0
25,82,19,19,52,58,57,16,0
22,80,17,17,51,54,55,10,0
22,81,18,18,51,57,57,10,0
27,86,22,22,62,66,66,11,0
23,81,18,18,50,55,56,9,0
25,84,20,20,57,60,61,12,0
23,82,19,18,55,58,57,12,0
24,84,20,19,57,62,63,12,0
24,83,19,19,56,60,59,11,0
22,81,21,18,53,57,59,9,0
22,81,18,18,53,59,58,14,0
22,81,18,18,53,57,57,13,0
30,89,33,25,67,70,71,6,0
27,84,23,23,61,63,63,15,0
22,81,18,18,51,57,56,16,0
22,80,18,18,49,53,55,16,0
